"","facility_id","utm_x83","utm_y83"
"1","703207",507922,4428007
"2","703548",518630,4434515
"3","703698",519582,4436877
"4","703884",517687,4483430
"5","704597",521049,4452663
"6","704612",514505,4447816
"7","704700",537393,4419243
"8","705030",543045,4414802
"9","705064",522241,4451926
"10","705335",531960,4450361
"11","705448",530860,4458493
"12","705543",520109,4448724
"13","705599",526557,4437566
"14","705746",530681,4460159
"15","705796",534650,4441524
"16","708101",517342,4433064
"17","750155",511893,4442474
"18","750158",525446,4449830
"19","750159",522526,4451746
"20","752520",515694,4453791
"21","752587",502532,4421930
"22","752688",521701,4432719
"23","752716",523560,4437560
"24","752730",520778,4489367
"25","752810",521246,4451827
"26","752811",522700,4451904
"27","752852",518769,4441588
"28","752861",523304,4436896
"29","752922",526931,4448672
"30","753046",525999,4444458
"31","753078",521750,4452006
"32","753196",509543,4428750
"33","753245",516195,4450366
"34","753379",524371,4437784
"35","753398",506208,4427830
"36","753652",568292,4471807
"37","753700",524631,4444324
"38","753727",523796,4434976
"39","753735",537438,4419250
"40","753788",523445,4434958
"41","753889",524050,4433807
"42","753949",529083,4434318
"43","753988",519432,4436636
"44","753995",521521,4435841
"45","754178",517813,4436618
"46","754325",519487,4434408
"47","754329",515279,4423425
"48","754374",525519,4444096
"49","754405",533983,4446256
"50","754431",534632,4441691
"51","754506",531873,4479388
"52","754896",569197,4468589
"53","755186",510766,4433343
"54","755416",533668,4443092
"55","755458",533061,4450933
"56","755660",517857,4432596
"57","755692",509766,4431860
"58","755792",509276,4432897
"59","755905",511880,4430833
"60","757052",498513,4431455
"61","757121",522126,4431375
"62","757148",521528,4432755
"63","757167",522410,4431814
"64","757175",523887,4436906
"65","757288",505134,4425552
"66","757330",507872,4433826
"67","757384",523838,4437740
"68","757411",532202,4436732
"69","757464",527187,4432401
"70","760009",533585,4452495
"71","760278",529740,4433783
"72","761483",527415,4432368
"73","761635",507416,4442710
